formula,hform,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData mode MeltingT,MagpieData range Row,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData range NpValence,MagpieData avg_dev NpValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData minimum NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData range NValence,MagpieData maximum NsUnfilled,MagpieData mode NsUnfilled,MagpieData maximum NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,DemlData maximum atom_radius,DemlData minimum molar_vol,DemlData maximum heat_fusion,DemlData minimum heat_cap,DemlData mean heat_cap,DemlData minimum first_ioniz,DemlData mean electric_pol,DemlData minimum GGAU_Etot,DemlData maximum GGAU_Etot,DemlData range GGAU_Etot,DemlData minimum FERE correction,DemlData maximum FERE correction,DemlData range FERE correction,PymatgenData maximum block,PymatgenData range block,PymatgenData mean block,PymatgenData std_dev block,PymatgenData minimum electrical_resistivity,PymatgenData maximum electrical_resistivity,PymatgenData minimum velocity_of_sound,PymatgenData mean velocity_of_sound,PymatgenData maximum thermal_conductivity,PymatgenData minimum bulk_modulus,PymatgenData mean bulk_modulus,PymatgenData minimum coefficient_of_linear_thermal_expansion,0-norm,2-norm,frac p valence electrons
Ag2,0.309243812042034,47.0,47.0,0.0,47.0,47.0,65.0,65.0,65.0,0.0,65.0,1234.93,1234.93,1234.93,1234.93,0.0,145.0,0.0,1.93,0.0,1.93,1.93,1.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.33,16.33,0.0,0.0,0.0,0.0,225.0,225.0,225.0,0.0,160,10.27,11300.0,25.35,25.35,731000,7.2,-0.71,-0.71,0.0,-0.1170095854159561,-0.1170095854159561,0.0,3.0,0.0,3.0,0.0,1.587e-08,1.587e-08,2600.0,2600.0,430.0,100.0,100.0,1.89e-05,1,1.0,0.0
Ag2As2O4,-0.6916948236019076,8.0,47.0,39.0,24.0,8.0,65.0,87.0,80.75,7.875,87.0,54.8,1234.93,608.6325,54.8,3.0,145.0,79.0,3.44,1.51,2.7475,3.44,1.0,2.0,2.0,0.0,4.0,1.375,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.875,2.0,0.0,0.0,1.0,2.0,22.175,14.17875,0.0,0.0,0.0,0.0,12.0,225.0,103.75,91.75,160,10.27,27700.0,24.64,27.1865,731000,3.2785,-4.99,-0.71,4.28,-0.4099999999999992,0.2300000000000004,0.6399999999999997,3.0,1.0,2.25,0.5477225575051662,1.587e-08,24391195280670.85,317.5,1685.184375,430.0,22.0,75.89710144927535,1.627619047619048e-05,3,0.6123724356957945,0.2894736842105263
Ag2As2O6,-0.5679199828511038,8.0,47.0,39.0,20.8,8.0,65.0,87.0,82.0,6.8,87.0,54.8,1234.93,497.8660000000001,54.8,3.0,145.0,79.0,3.44,1.51,2.886,3.44,1.0,2.0,2.0,0.0,4.0,1.2,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.72,2.0,0.0,0.0,1.0,2.0,22.175,13.163999999999998,0.0,0.0,0.0,0.0,12.0,225.0,85.4,88.08,160,10.27,27700.0,24.64,27.6248,731000,2.7832,-4.99,-0.71,4.28,-0.4099999999999992,0.2300000000000004,0.6399999999999997,3.0,1.0,2.2,0.5345224838248488,1.587e-08,24391195280670.85,317.5,1411.6475,430.0,22.0,78.87652173913042,1.627619047619048e-05,3,0.6633249580710799,0.3409090909090909
Ag2As2S4,-0.0638723211265608,16.0,47.0,31.0,28.0,16.0,65.0,88.0,81.25,8.125,88.0,388.36,1234.93,775.4125000000001,388.36,2.0,145.0,40.0,2.58,0.6500000000000001,2.3175,2.58,1.0,2.0,2.0,0.0,4.0,1.375,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.875,2.0,0.0,0.0,1.0,2.0,25.786875,22.5196875,0.0,2.202,2.202,0.0,70.0,225.0,132.75,62.75,160,10.27,27700.0,22.75,23.8725,731000,4.3275,-4.65,-0.71,3.94,-0.4099999999999992,0.0599999999999996,0.4699999999999988,3.0,1.0,2.25,0.5477225575051662,1.587e-08,2000000000000000.0,2600.0,3279.3031250000004,430.0,7.7,34.35,1.627619047619048e-05,3,0.6123724356957945,0.2894736842105263
Ag2As2S6,0.0599113631921461,16.0,47.0,31.0,25.6,16.0,65.0,88.0,82.6,7.040000000000004,88.0,388.36,1234.93,698.0020000000001,388.36,2.0,145.0,40.0,2.58,0.6500000000000001,2.37,2.58,1.0,2.0,2.0,0.0,4.0,1.2,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.72,2.0,0.0,0.0,1.0,2.0,25.786875,23.173125,0.0,2.202,2.202,0.0,70.0,225.0,120.2,60.24000000000001,160,10.27,27700.0,22.75,23.648000000000003,731000,4.042,-4.65,-0.71,3.94,-0.4099999999999992,0.0599999999999996,0.4699999999999988,3.0,1.0,2.2,0.5345224838248488,1.587e-08,2000000000000000.0,2600.0,3324.59,430.0,7.7,29.02,1.627619047619048e-05,3,0.6633249580710799,0.3409090909090909
Ag2As2Se4,-0.0398680447975108,33.0,47.0,14.0,37.0,34.0,65.0,89.0,81.75,8.375,89.0,494.0,1234.93,828.2325000000001,494.0,1.0,145.0,26.0,2.55,0.6199999999999999,2.3025,2.55,1.0,2.0,2.0,0.0,4.0,1.375,10.0,0.0,0.0,0.0,11.0,5.0,1.0,0.0,3.0,0.875,2.0,0.0,0.0,1.0,2.0,25.92,22.58625,0.0,0.799,0.799,0.0,14.0,225.0,104.75,90.75,160,10.27,27700.0,24.64,25.179,731000,4.7625,-4.65,-0.71,3.94,-0.4099999999999992,-0.0699999999999998,0.3399999999999994,3.0,1.0,2.25,0.5477225575051662,1.587e-08,24391195280670.85,2600.0,3201.434375,430.0,8.3,34.65,1.627619047619048e-05,3,0.6123724356957945,0.1896551724137931
Ag2As2Se6,0.0420624036878933,33.0,47.0,14.0,36.4,34.0,65.0,89.0,83.2,7.2799999999999985,89.0,494.0,1234.93,761.3860000000001,494.0,1.0,145.0,26.0,2.55,0.6199999999999999,2.352,2.55,1.0,2.0,2.0,0.0,4.0,1.2,10.0,0.0,0.0,0.0,11.0,5.0,1.0,0.0,3.0,0.72,2.0,0.0,0.0,1.0,2.0,25.92,23.253,0.0,0.799,0.799,0.0,14.0,225.0,86.6,87.12,160,10.27,27700.0,24.64,25.2158,731000,4.564,-4.65,-0.71,3.94,-0.4099999999999992,-0.0699999999999998,0.3399999999999994,3.0,1.0,2.2,0.5345224838248488,1.587e-08,24391195280670.85,2600.0,3231.1475,430.0,8.3,29.380000000000003,1.627619047619048e-05,3,0.6633249580710799,0.2027027027027027
Ag2As2Te4,0.0662123132328917,33.0,52.0,19.0,46.0,52.0,65.0,90.0,82.25,8.625,90.0,722.66,1234.93,942.5625,722.66,1.0,145.0,26.0,2.18,0.2500000000000002,2.0775,2.1,1.0,2.0,2.0,0.0,4.0,1.375,10.0,0.0,0.0,0.0,11.0,5.0,1.0,0.0,3.0,0.875,2.0,0.0,0.0,1.0,2.0,34.7633333333,27.00791666665,0.0,0.464,0.464,0.0,152.0,225.0,173.75,25.625,160,10.27,27700.0,24.64,25.3625,731000,5.6275,-4.65,-0.71,3.94,-0.4099999999999992,-0.1103408197224911,0.2996591802775081,3.0,1.0,2.25,0.5477225575051662,1.587e-08,0.0001,2600.0,2831.434375,430.0,22.0,63.0,1.627619047619048e-05,3,0.6123724356957945,0.1896551724137931
Ag2As2Te6,0.1178828328302181,33.0,52.0,19.0,47.2,52.0,65.0,90.0,83.8,7.520000000000001,90.0,722.66,1234.93,898.582,722.66,1.0,145.0,26.0,2.18,0.2500000000000002,2.082,2.1,1.0,2.0,2.0,0.0,4.0,1.2,10.0,0.0,0.0,0.0,11.0,5.0,1.0,0.0,3.0,0.72,2.0,0.0,0.0,1.0,2.0,34.7633333333,28.55899999998,0.0,0.464,0.464,0.0,152.0,225.0,169.4,22.24,160,10.27,27700.0,24.64,25.436,731000,5.601999999999999,-4.65,-0.71,3.94,-0.4099999999999992,-0.1103408197224911,0.2996591802775081,3.0,1.0,2.2,0.5345224838248488,1.587e-08,0.0001,2600.0,2787.1475,430.0,22.0,63.4,1.627619047619048e-05,3,0.6633249580710799,0.2027027027027027
Ag2As4Br2O3,-0.5236506047395708,8.0,47.0,39.0,29.09090909090909,33.0,65.0,95.0,83.36363636363636,6.677685950413226,84.0,54.8,1234.93,684.169090909091,1090.0,3.0,145.0,79.0,3.44,1.51,2.62,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,10.0,0.0,0.0,6.0,11.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,29.48,18.87590909090909,0.0,1.457,0.0,0.0,12.0,225.0,116.1818181818182,75.80165289256198,160,10.27,27700.0,24.64,35.34309090909091,731000,3.649636363636364,-4.99,-0.71,4.28,-0.4099999999999992,0.2300000000000004,0.6399999999999997,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,24391195280670.85,317.5,2471.5386363636367,430.0,1.9,51.2893280632411,1.627619047619048e-05,4,0.5222329678670935,0.2537313432835821
Ag2As4Br2S3,-0.1820322671785458,16.0,47.0,31.0,31.272727272727277,33.0,65.0,95.0,83.63636363636364,6.776859504132229,84.0,265.8,1234.93,775.1400000000001,1090.0,2.0,145.0,40.0,2.96,1.03,2.3854545454545457,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,10.0,0.0,0.0,6.0,11.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,29.48,23.42551136363636,0.0,2.202,0.0,0.0,64.0,225.0,132.0,58.54545454545455,160,10.27,27700.0,22.75,33.53545454545454,731000,4.221818181818182,-4.65,-0.71,3.94,-0.4099999999999992,0.093176359767253,0.5031763597672523,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,2000000000000000.0,2600.0,3341.057954545455,430.0,1.9,28.62727272727273,1.627619047619048e-05,4,0.5222329678670935,0.2537313432835821
Ag2As4Br2Se3,-0.1669119363183316,33.0,47.0,14.0,36.18181818181818,33.0,65.0,95.0,83.9090909090909,6.876033057851242,84.0,265.8,1234.93,803.9509090909091,1090.0,1.0,145.0,26.0,2.96,1.03,2.377272727272727,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,0.0,0.0,0.0,11.0,6.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,29.48,23.46181818181818,0.0,1.457,0.0,0.0,14.0,225.0,116.72727272727272,75.20661157024793,160,10.27,27700.0,24.64,34.248090909090905,731000,4.45909090909091,-4.65,-0.71,3.94,-0.4099999999999992,0.093176359767253,0.5031763597672523,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,24391195280670.85,2600.0,3298.584090909091,430.0,1.9,28.79090909090909,1.627619047619048e-05,4,0.5222329678670935,0.2073170731707317
Ag2As4Br2Te3,-0.1091469680500099,33.0,52.0,19.0,41.09090909090909,33.0,65.0,95.0,84.18181818181819,7.107438016528926,84.0,265.8,1234.93,866.3127272727273,1090.0,1.0,145.0,26.0,2.96,1.03,2.2545454545454544,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,0.0,0.0,0.0,11.0,6.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,34.7633333333,25.87363636362727,0.0,1.457,0.0,0.0,64.0,225.0,154.36363636363637,34.14876033057851,160,10.27,27700.0,24.64,34.348181818181814,731000,4.930909090909091,-4.65,-0.71,3.94,-0.4099999999999992,0.093176359767253,0.5031763597672523,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,78000000000.0,2600.0,3096.765909090909,430.0,1.9,44.25454545454546,1.627619047619048e-05,4,0.5222329678670935,0.2073170731707317
Ag2As4Cl2O3,-0.5532603756853767,8.0,47.0,39.0,25.818181818181817,33.0,65.0,94.0,83.18181818181819,6.611570247933881,84.0,54.8,1234.93,667.0418181818181,1090.0,3.0,145.0,79.0,3.44,1.51,2.6563636363636363,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,24.4975,17.97,0.0,2.493,0.0,0.0,12.0,225.0,116.1818181818182,75.80165289256198,160,10.27,27700.0,24.64,27.75381818181818,731000,3.491454545454545,-4.99,-0.71,4.28,-0.4099999999999992,0.2300000000000004,0.6399999999999997,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,24391195280670.85,206.0,1871.586363636364,430.0,1.1,51.14387351778657,1.627619047619048e-05,4,0.5222329678670935,0.2982456140350877
Ag2As4Cl2S3,-0.2171487314587236,16.0,47.0,31.0,28.0,33.0,65.0,94.0,83.45454545454545,6.710743801652893,84.0,171.6,1234.93,758.0127272727273,1090.0,2.0,145.0,43.0,3.16,1.2300000000000002,2.421818181818182,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,25.786875,22.519602272727276,0.0,2.493,0.0,0.0,64.0,225.0,132.0,58.54545454545455,160,10.27,27700.0,22.75,25.94618181818182,731000,4.063636363636364,-4.65,-0.71,3.94,-0.4099999999999992,0.1637562864698361,0.5737562864698353,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,2000000000000000.0,206.0,2741.105681818182,430.0,1.1,28.481818181818184,1.627619047619048e-05,4,0.5222329678670935,0.2982456140350877
Ag2As4Cl2Se3,-0.2021780259018739,17.0,47.0,30.0,32.90909090909091,33.0,65.0,94.0,83.72727272727273,6.809917355371897,84.0,171.6,1234.93,786.8236363636365,1090.0,2.0,145.0,43.0,3.16,1.2300000000000002,2.413636363636364,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,10.0,0.0,0.0,7.0,9.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,25.92,22.555909090909093,0.0,2.493,0.0,0.0,14.0,225.0,116.72727272727272,75.20661157024793,160,10.27,27700.0,24.64,26.658818181818177,731000,4.300909090909091,-4.65,-0.71,3.94,-0.4099999999999992,0.1637562864698361,0.5737562864698353,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,24391195280670.85,206.0,2698.6318181818183,430.0,1.1,28.64545454545454,1.627619047619048e-05,4,0.5222329678670935,0.236111111111111
Ag2As4Cl2Te3,-0.146713612031889,17.0,52.0,35.0,37.81818181818182,33.0,65.0,94.0,84.0,6.909090909090909,84.0,171.6,1234.93,849.1854545454546,1090.0,2.0,145.0,43.0,3.16,1.2300000000000002,2.290909090909091,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,10.0,0.0,0.0,7.0,9.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,34.7633333333,24.967727272718182,0.0,2.493,0.0,0.0,64.0,225.0,154.36363636363637,34.14876033057851,160,10.27,27700.0,24.64,26.75890909090909,731000,4.7727272727272725,-4.65,-0.71,3.94,-0.4099999999999992,0.1637562864698361,0.5737562864698353,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,10.0,206.0,2496.8136363636363,430.0,1.1,44.10909090909091,1.627619047619048e-05,4,0.5222329678670935,0.236111111111111
Ag2As4F2O3,-0.7429798457580884,8.0,47.0,39.0,24.363636363636363,33.0,65.0,93.0,83.0,6.545454545454546,84.0,53.5,1234.93,645.569090909091,1090.0,3.0,145.0,88.0,3.98,2.05,2.805454545454545,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,22.175,15.280909090909091,0.0,1.97,0.0,0.0,12.0,225.0,107.27272727272728,85.52066115702479,160,10.27,27700.0,24.64,27.27290909090909,731000,3.196363636363636,-4.99,-0.71,4.28,-0.4099999999999992,0.2300000000000004,0.6399999999999997,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,24391195280670.85,317.5,2471.5386363636367,430.0,22.0,67.45191040843214,1.627619047619048e-05,4,0.5222329678670935,0.2982456140350877
Ag2As4F2S3,-0.4356567185324946,9.0,47.0,38.0,26.545454545454547,33.0,65.0,93.0,83.27272727272727,6.644628099173558,84.0,53.5,1234.93,736.5400000000001,1090.0,3.0,145.0,88.0,3.98,2.05,2.570909090909091,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,25.786875,19.830511363636365,0.0,2.202,0.0,0.0,15.0,225.0,123.0909090909091,68.26446280991735,160,10.27,27700.0,22.75,25.46527272727273,731000,3.7685454545454538,-4.65,-0.71,3.94,-0.4099999999999992,0.1562132233429713,0.5662132233429706,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,2000000000000000.0,2600.0,3341.057954545455,430.0,7.7,44.789855072463766,1.627619047619048e-05,4,0.5222329678670935,0.2982456140350877
Ag2As4F2Se3,-0.4200364628332432,9.0,47.0,38.0,31.454545454545453,33.0,65.0,93.0,83.54545454545455,6.743801652892561,84.0,53.5,1234.93,765.3509090909091,1090.0,3.0,145.0,88.0,3.98,2.05,2.5627272727272725,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,10.0,0.0,0.0,7.0,9.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,25.92,19.866818181818186,0.0,1.97,0.0,0.0,14.0,225.0,107.8181818181818,84.92561983471074,160,10.27,27700.0,24.64,26.17790909090909,731000,4.0058181818181815,-4.65,-0.71,3.94,-0.4099999999999992,0.1562132233429713,0.5662132233429706,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,24391195280670.85,2600.0,3298.584090909091,430.0,8.3,44.95349143610013,1.627619047619048e-05,4,0.5222329678670935,0.236111111111111
Ag2As4F2Te3,-0.3836308368891311,9.0,52.0,43.0,36.36363636363637,33.0,65.0,93.0,83.81818181818181,6.842975206611573,84.0,53.5,1234.93,827.7127272727273,1090.0,3.0,145.0,88.0,3.98,2.05,2.44,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,10.0,0.0,0.0,7.0,9.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,34.7633333333,22.278636363627275,0.0,1.97,0.0,0.0,15.0,225.0,145.45454545454547,47.438016528925615,160,10.27,27700.0,24.64,26.278,731000,4.477636363636363,-4.65,-0.71,3.94,-0.4099999999999992,0.1562132233429713,0.5662132233429706,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,24391195280670.85,2600.0,3096.765909090909,430.0,22.0,60.41712779973648,1.627619047619048e-05,4,0.5222329678670935,0.236111111111111
Ag2As4I2S3,-0.1373182616343633,16.0,53.0,37.0,34.54545454545455,33.0,65.0,96.0,83.81818181818181,6.842975206611573,84.0,386.85,1234.93,797.1490909090909,1090.0,2.0,145.0,40.0,2.66,0.7300000000000002,2.330909090909091,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,10.0,0.0,0.0,6.0,11.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,43.015,25.88642045454545,0.0,2.202,0.0,0.0,64.0,225.0,132.0,58.54545454545455,160,10.27,27700.0,22.75,29.671818181818185,731000,4.640000000000001,-4.65,-0.71,3.94,-0.4099999999999992,0.0931763597672534,0.5031763597672527,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,2000000000000000.0,2600.0,3341.057954545455,430.0,7.7,29.681818181818183,1.627619047619048e-05,4,0.5222329678670935,0.2537313432835821
Ag2As4I2Se3,-0.1230199742228647,33.0,53.0,20.0,39.45454545454545,33.0,65.0,96.0,84.0909090909091,7.008264462809918,84.0,386.85,1234.93,825.9600000000002,1090.0,1.0,145.0,26.0,2.66,0.7300000000000002,2.3227272727272723,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,0.0,0.0,0.0,11.0,6.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,43.015,25.922727272727272,0.0,1.062,0.0,0.0,14.0,225.0,116.72727272727272,75.20661157024793,160,10.27,27700.0,24.64,30.384454545454545,731000,4.877272727272728,-4.65,-0.71,3.94,-0.4099999999999992,0.0931763597672534,0.5031763597672527,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,24391195280670.85,2600.0,3298.584090909091,430.0,7.7,29.84545454545454,1.627619047619048e-05,4,0.5222329678670935,0.2073170731707317
Ag2As4I2Te3,-0.0613012203986084,33.0,53.0,20.0,44.36363636363637,33.0,65.0,96.0,84.36363636363636,7.305785123966942,84.0,386.85,1234.93,888.3218181818182,1090.0,1.0,145.0,26.0,2.66,0.7300000000000002,2.2,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,0.0,0.0,0.0,11.0,6.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,43.015,28.33454545453636,0.0,1.062,0.0,0.0,64.0,225.0,154.36363636363637,34.14876033057851,160,10.27,27700.0,24.64,30.48454545454545,731000,5.34909090909091,-4.65,-0.71,3.94,-0.4099999999999992,0.0931763597672534,0.5031763597672527,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,13000000.0,2600.0,3096.765909090909,430.0,7.7,45.309090909090905,1.627619047619048e-05,4,0.5222329678670935,0.2073170731707317
Ag2As4S12,0.1590431417843621,16.0,47.0,31.0,23.22222222222222,16.0,65.0,88.0,84.55555555555556,4.592592592592592,88.0,388.36,1234.93,638.3433333333334,388.36,2.0,145.0,40.0,2.58,0.6500000000000001,2.4188888888888886,2.58,1.0,2.0,2.0,0.0,4.0,0.8888888888888888,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.4444444444444444,2.0,0.0,0.0,1.0,2.111111111111111,25.786875,23.93347222222222,0.0,2.202,2.202,0.0,70.0,225.0,108.55555555555556,51.407407407407405,160,10.27,27700.0,22.75,23.45888888888889,731000,3.691111111111111,-4.65,-0.71,3.94,-0.4099999999999992,0.0599999999999996,0.4699999999999988,3.0,1.0,2.111111111111111,0.4472135954999579,1.587e-08,2000000000000000.0,2600.0,3405.1000000000004,430.0,7.7,21.133333333333333,1.627619047619048e-05,3,0.7114582486036499,0.3896103896103896
Ag2Au2Cl8,-0.3885127378021507,17.0,79.0,62.0,32.333333333333336,17.0,65.0,94.0,84.5,12.666666666666666,94.0,171.6,1337.33,543.11,171.6,3.0,145.0,43.0,3.16,1.2300000000000002,2.8516666666666666,3.16,1.0,2.0,2.0,0.0,5.0,2.222222222222222,10.0,10.0,0.0,0.0,7.0,18.0,1.0,0.0,1.0,0.4444444444444445,1.0,0.0,0.0,1.0,1.0,24.4975,21.836666666666662,0.0,2.493,2.493,0.0,64.0,225.0,117.66666666666669,71.55555555555556,160,10.21,12500.0,25.35,31.094,731000,3.62,-1.79,-0.71,1.08,-1.2603410086960551,0.1637562864698361,1.4240972951658912,3.0,1.0,2.333333333333333,0.6666666666666667,1.587e-08,10.0,206.0,860.6666666666666,430.0,1.1,54.06666666666666,1.42e-05,3,0.7071067811865476,0.3125
Ag2Au2F8,-1.1771636618653476,9.0,79.0,70.0,27.0,9.0,65.0,93.0,83.83333333333333,12.222222222222223,93.0,53.5,1337.33,464.3766666666667,53.5,4.0,145.0,88.0,3.98,2.05,3.398333333333333,3.98,1.0,2.0,2.0,0.0,5.0,2.222222222222222,10.0,10.0,0.0,0.0,7.0,18.0,1.0,0.0,1.0,0.4444444444444445,1.0,0.0,0.0,1.0,1.0,16.7,11.976666666666668,0.0,1.97,1.97,0.0,15.0,225.0,85.0,93.33333333333331,160,10.21,12500.0,25.35,29.330666666666666,731000,2.538,-1.86,-0.71,1.15,-1.2603410086960551,0.1562132233429713,1.4165542320390263,3.0,1.0,2.333333333333333,0.6666666666666667,1.587e-08,24391195280670.85,1740.0,3060.491666666667,430.0,90.79420289855072,113.86280193236712,1.42e-05,3,0.7071067811865476,0.3125
Ag2Au2I8,-0.1168805541614418,47.0,79.0,32.0,56.333333333333336,53.0,65.0,96.0,85.83333333333333,13.555555555555555,96.0,386.85,1337.33,686.61,386.85,1.0,145.0,9.0,2.66,0.7300000000000002,2.518333333333333,2.66,1.0,2.0,2.0,0.0,5.0,2.222222222222222,10.0,0.0,0.0,0.0,11.0,14.0,1.0,0.0,1.0,0.4444444444444445,1.0,0.0,0.0,1.0,1.0,43.015,34.181666666666665,0.0,1.062,1.062,0.0,64.0,225.0,117.66666666666669,71.55555555555556,160,10.21,12500.0,25.35,44.75466666666667,731000,5.733333333333333,-4.027581150943398,-0.71,3.317581150943398,-1.2603410086960551,0.0931763597672534,1.3535173684633086,3.0,1.0,2.333333333333333,0.6666666666666667,1.587e-08,13000000.0,1740.0,3060.491666666667,430.0,7.7,58.46666666666667,1.42e-05,3,0.7071067811865476,0.1923076923076923
Ag2B2Br2O2,-0.3631261049148016,5.0,47.0,42.0,23.75,5.0,65.0,95.0,79.75,11.25,65.0,54.8,2348.0,975.8825000000002,54.8,3.0,145.0,79.0,3.44,1.51,2.5925,1.93,1.0,2.0,1.0,0.0,5.0,2.0,10.0,10.0,0.0,0.0,3.0,14.0,1.0,0.0,5.0,1.5,0.0,0.0,0.0,1.0,2.25,29.48,15.521875,0.0,1.524,0.0,0.0,12.0,225.0,116.75,78.75,160,4.39,50000.0,11.087,35.37625,731000,5.874111607142857,-4.99,-0.71,4.28,-0.1170095854159561,0.2300000000000004,0.3470095854159566,3.0,1.0,2.25,0.5,1.587e-08,24391195280670.85,317.5,5655.809375,430.0,1.9,128.17355072463766,6e-06,4,0.5,0.2702702702702703
Ag2B2Br2S2,0.0462885095161271,5.0,47.0,42.0,25.75,5.0,65.0,95.0,80.0,11.5,65.0,265.8,2348.0,1059.2725,265.8,3.0,145.0,61.0,2.96,1.03,2.3775,1.93,1.0,2.0,1.0,0.0,5.0,2.0,10.0,10.0,0.0,0.0,3.0,14.0,1.0,0.0,5.0,1.5,0.0,0.0,0.0,1.0,2.25,29.48,19.69234375,0.0,2.202,0.0,0.0,64.0,225.0,131.25,64.25,160,4.39,50000.0,11.087,33.71925,731000,6.398611607142857,-4.06,-0.71,3.35,-0.1170095854159561,0.093176359767253,0.2101859451832092,3.0,1.0,2.25,0.5,1.587e-08,2000000000000000.0,2600.0,6452.86875,430.0,1.9,107.4,6e-06,4,0.5,0.2702702702702703
