formula,hform,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData mode MeltingT,MagpieData range Row,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData range NpValence,MagpieData avg_dev NpValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData minimum NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData range NValence,MagpieData maximum NsUnfilled,MagpieData mode NsUnfilled,MagpieData maximum NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,DemlData maximum atom_radius,DemlData minimum molar_vol,DemlData maximum heat_fusion,DemlData minimum heat_cap,DemlData mean heat_cap,DemlData minimum first_ioniz,DemlData mean electric_pol,DemlData minimum GGAU_Etot,DemlData maximum GGAU_Etot,DemlData range GGAU_Etot,DemlData minimum FERE correction,DemlData maximum FERE correction,DemlData range FERE correction,PymatgenData maximum block,PymatgenData range block,PymatgenData mean block,PymatgenData std_dev block,PymatgenData minimum electrical_resistivity,PymatgenData maximum electrical_resistivity,PymatgenData minimum velocity_of_sound,PymatgenData mean velocity_of_sound,PymatgenData maximum thermal_conductivity,PymatgenData minimum bulk_modulus,PymatgenData mean bulk_modulus,PymatgenData minimum coefficient_of_linear_thermal_expansion,0-norm,2-norm,frac p valence electrons
CoF2O2,-0.5034121404188582,8.0,27.0,19.0,12.2,8.0,58.0,93.0,83.6,10.240000000000004,87.0,53.5,1768.0,396.92,53.5,2.0,126.0,69.0,3.98,2.1,3.344,3.44,2.0,2.0,2.0,0.0,5.0,1.44,7.0,7.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,0.64,1.0,3.0,0.0,1.0,1.8,10.245,9.574,0.0,1.97,0.0,1.5484712,12.0,194.0,49.6,57.760000000000005,135,6.67,16200.0,24.81,29.2348,760400,2.0436,-4.99,-1.86,3.13,-0.1043486260270398,0.2300000000000004,0.3343486260270403,3.0,1.0,2.2,0.5,6.24e-08,24391195280670.85,317.5,2473.295,100.0,90.79420289855072,108.63536231884056,1.3e-05,3,0.6000000000000001,0.5142857142857143
CoF2O4Te,-1.1009825967465137,8.0,52.0,44.0,16.125,8.0,58.0,93.0,85.25,6.8125,87.0,53.5,1768.0,352.1075,54.8,3.0,138.0,81.0,3.98,2.1,3.2125000000000004,3.44,2.0,2.0,2.0,0.0,5.0,0.9375,10.0,10.0,0.0,0.0,6.0,10.0,0.0,0.0,2.0,0.625,2.0,3.0,0.0,1.0,1.875,34.7633333333,12.6054166666625,0.0,1.97,0.0,1.5484712,12.0,194.0,53.0,60.0,140,6.67,17500.0,24.81,28.8325,760400,2.1652500000000003,-4.99,-1.86,3.13,-0.1103408197224911,0.2300000000000004,0.3403408197224915,3.0,1.0,2.125,0.408248290463863,6.24e-08,24391195280670.85,317.5,1951.434375,100.0,65.0,98.72065217391304,1.3e-05,4,0.5863019699779287,0.4761904761904761
CoF2S2,-0.9261813606320836,9.0,27.0,18.0,15.4,9.0,58.0,93.0,84.0,10.4,88.0,53.5,1768.0,530.344,53.5,2.0,126.0,69.0,3.98,2.1,3.0,2.58,2.0,2.0,2.0,0.0,5.0,1.44,7.0,7.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,0.64,1.0,3.0,0.0,1.0,1.8,25.786875,16.24675,0.0,2.202,1.97,1.5484712,15.0,194.0,72.8,48.48,135,6.67,16200.0,22.75,26.5836,760400,2.8828000000000005,-4.65,-1.86,2.79,-0.1043486260270398,0.1562132233429713,0.2605618493700112,3.0,1.0,2.2,0.5,6.24e-08,2000000000000000.0,3505.7375,3748.59,100.0,7.7,75.39768115942027,1.3e-05,3,0.6000000000000001,0.5142857142857143
CoGa2O4,-1.4033403714799737,8.0,31.0,23.0,17.285714285714285,8.0,58.0,87.0,79.14285714285714,8.979591836734695,87.0,54.8,1768.0,370.43142857142857,54.8,2.0,126.0,60.0,3.44,1.63,2.751428571428572,3.44,2.0,2.0,2.0,0.0,4.0,1.6326530612244898,10.0,10.0,0.0,0.0,6.0,7.0,0.0,0.0,5.0,1.3877551020408163,2.0,3.0,0.0,2.0,3.0,18.8575,12.054285714285712,0.0,0.0,0.0,1.5484712,12.0,194.0,52.85714285714285,46.693877551020414,135,6.67,16200.0,24.81,27.72028571428572,578800,3.8497142857142856,-4.99,-3.03,1.9600000000000004,-0.1043486260270398,0.6599999999999997,0.7643486260270396,3.0,1.0,2.142857142857143,0.4629100498862757,6.24e-08,24391195280670.85,317.5,1638.571428571429,100.0,90.79420289855072,103.53788819875776,1.3e-05,3,0.6546536707079771,0.3050847457627119
CoGa2S4,-0.568602852374187,16.0,31.0,15.0,21.857142857142858,16.0,58.0,88.0,79.71428571428571,9.469387755102042,88.0,302.91,1768.0,561.0371428571428,388.36,1.0,126.0,21.0,2.58,0.77,2.26,2.58,2.0,2.0,2.0,0.0,4.0,1.6326530612244898,10.0,10.0,0.0,0.0,6.0,7.0,0.0,0.0,5.0,1.3877551020408163,2.0,3.0,0.0,2.0,3.0,25.786875,21.586785714285718,0.0,2.202,2.202,1.5484712,64.0,194.0,86.0,30.857142857142858,135,6.67,16200.0,22.75,23.93285714285714,578800,5.048571428571428,-4.65,-3.03,1.6200000000000006,-0.1043486260270398,0.6599999999999997,0.7643486260270396,3.0,1.0,2.142857142857143,0.4629100498862757,6.24e-08,2000000000000000.0,2740.0,3460.421428571429,100.0,7.7,56.05548654244306,1.3e-05,3,0.6546536707079771,0.3050847457627119
CoGa2Se4,-0.4772645275118751,27.0,34.0,7.0,32.142857142857146,34.0,58.0,89.0,80.28571428571429,9.959183673469386,89.0,302.91,1768.0,621.4028571428571,494.0,0.0,126.0,6.0,2.55,0.7399999999999998,2.242857142857143,2.55,2.0,2.0,2.0,0.0,4.0,1.6326530612244898,10.0,3.0,0.0,0.0,9.0,7.0,0.0,0.0,5.0,1.3877551020408163,2.0,3.0,0.0,2.0,3.0,25.92,21.662857142857145,0.0,0.799,0.799,1.5484712,14.0,194.0,54.0,45.71428571428572,135,6.67,16200.0,24.81,25.426,578800,5.545714285714285,-4.65,-3.03,1.6200000000000006,-0.1043486260270398,0.6599999999999997,0.7643486260270396,3.0,1.0,2.142857142857143,0.4629100498862757,6.24e-08,24391195280670.85,2740.0,3371.428571428572,100.0,8.3,56.3983436853002,1.3e-05,3,0.6546536707079771,0.1818181818181818
CoGa2Te4,-0.2412286542924724,27.0,52.0,25.0,42.42857142857143,52.0,58.0,90.0,80.85714285714286,10.448979591836734,90.0,302.91,1768.0,752.0657142857143,722.66,1.0,138.0,16.0,2.1,0.29,1.9857142857142855,2.1,2.0,2.0,2.0,0.0,4.0,1.6326530612244898,10.0,3.0,0.0,0.0,9.0,7.0,0.0,0.0,5.0,1.3877551020408163,2.0,3.0,0.0,2.0,3.0,34.7633333333,26.716190476171427,0.0,0.464,0.464,1.5484712,64.0,194.0,132.85714285714286,39.3469387755102,140,6.67,17500.0,24.81,25.635714285714283,578800,6.534285714285714,-4.65,-3.03,1.6200000000000006,-0.1103408197224911,0.6599999999999997,0.7703408197224908,3.0,1.0,2.142857142857143,0.4629100498862757,6.24e-08,0.0001,2610.0,2948.5714285714284,100.0,65.0,88.7983436853002,1.3e-05,3,0.6546536707079771,0.1818181818181818
CoH2,0.1035460573211851,1.0,27.0,26.0,9.666666666666666,1.0,58.0,92.0,80.66666666666667,15.111111111111107,92.0,14.01,1768.0,598.6733333333333,14.01,3.0,126.0,95.0,2.2,0.3200000000000003,2.0933333333333333,2.2,1.0,2.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.6666666666666667,10.245,7.825,0.0,7.853,7.853,1.5484712,194.0,194.0,194.0,0.0,135,6.67,16200.0,24.81,26.033183908045974,760400,10.79629761904762,-4.65,-4.027581150943397,0.6224188490566034,-0.1043486260270398,0.093176359767253,0.1975249857942929,3.0,2.0,1.6666666666666667,1.4142135623730951,6.24e-08,24391195280670.85,1270.0,2420.0,100.0,90.79420289855072,120.5294685990338,1.3e-05,2,0.7453559924999299,0.0
CoH2O2,-0.7750804616219916,1.0,27.0,26.0,9.0,1.0,58.0,92.0,83.2,10.079999999999998,87.0,14.01,1768.0,381.124,14.01,3.0,126.0,95.0,3.44,1.56,2.632,2.2,1.0,2.0,1.0,0.0,4.0,1.9200000000000004,7.0,7.0,0.0,0.0,1.0,8.0,1.0,0.0,2.0,0.9600000000000002,0.0,3.0,0.0,1.0,1.8,10.245,8.337,0.0,7.853,0.0,1.5484712,12.0,194.0,121.2,87.35999999999999,135,6.67,16200.0,24.81,27.37111034482758,760400,6.798578571428571,-4.99,-4.027581150943397,0.9624188490566032,-0.1043486260270398,0.2300000000000004,0.3343486260270403,3.0,2.0,1.8,0.9354143466934854,6.24e-08,24391195280670.85,317.5,1579.0,100.0,90.79420289855072,108.63536231884056,1.3e-05,3,0.6000000000000001,0.3478260869565218
CoH2S2,-0.1570193800600819,1.0,27.0,26.0,12.2,1.0,58.0,92.0,83.6,10.240000000000004,88.0,14.01,1768.0,514.548,14.01,3.0,126.0,95.0,2.58,0.7000000000000002,2.2880000000000003,2.2,1.0,2.0,1.0,0.0,4.0,1.9200000000000004,7.0,7.0,0.0,0.0,1.0,8.0,1.0,0.0,2.0,0.9600000000000002,0.0,3.0,0.0,1.0,1.8,25.786875,15.00975,0.0,7.853,2.202,1.5484712,70.0,194.0,144.4,59.52,135,6.67,16200.0,22.75,24.719910344827586,760400,7.637778571428571,-4.65,-4.027581150943397,0.6224188490566034,-0.1043486260270398,0.093176359767253,0.1975249857942929,3.0,2.0,1.8,0.9354143466934854,6.24e-08,2000000000000000.0,1270.0,2854.295,100.0,7.7,75.39768115942027,1.3e-05,3,0.6000000000000001,0.3478260869565218
