Classe,formula
Haletos com Calcogênios,Sn2Br2S2
Haletos com Calcogênios,Sn2Br2Se2
Haletos com Calcogênios,Sn2Br2Te2
Haletos com Calcogênios,Sn2Cl2Se2
Haletos com Calcogênios,Sn2F2Se2
Haletos com Calcogênios,SnBrIOSSb
Haletos com Calcogênios,SnSrBr2SSb
Haletos com Calcogênios,Sr2B2F2S6
Haletos com Calcogênios,Sr2H8I4S4
Haletos com Calcogênios,Sr4As4F4Te8
Haletos com Calcogênios,Sr4Cl4P4S8
Haletos com Calcogênios,SrF2S2
Haletos com Calcogênios,SrGeI2S
Haletos com Calcogênios,Tl2F2Se2
Haletos com Calcogênios,Tl4Br4Te4
Haletos com Calcogênios,Tl4I4Te4
Haletos com Calcogênios,TlBr2GeS2
Haletos com Calcogênios,TlBr2S
Haletos com Calcogênios,TlClSe
Haletos com Metais de Transição,Ag2As4Cl2S3
Haletos com Metais de Transição,Ag2As4Cl2Se3
Haletos com Metais de Transição,Ag2As4F2O3
Haletos com Metais de Transição,Ag2As4F2Se3
Haletos com Metais de Transição,Ag2B2F2O2
Haletos com Metais de Transição,Ag2B2I2S2
Haletos com Metais de Transição,Ag2B4Br2H4N2
Haletos com Metais de Transição,Ag2B4C2F4I2
Haletos com Metais de Transição,Ag2B4H4I2N2
Haletos com Metais de Transição,Ag2Br2C2O2
Haletos com Metais de Transição,Ag2Br2N2
Haletos com Metais de Transição,Ag2Br2O2
Haletos com Metais de Transição,Ag2Br2P4S3
Haletos com Metais de Transição,Ag2Br2S3Sb4
Haletos com Metais de Transição,Ag2Br2SSe
Haletos com Metais de Transição,Ag2Br2Se2
Haletos com Metais de Transição,Ag2BrCl3
Haletos com Metais de Transição,Ag2C2Cl2F4N4
Haletos com Metais de Transição,Ag2C2I2S2
Haletos com Metais de Transição,Ag2C4F4O8
Haletos com Metais de Transição,Ag2C6Cl2F8N2
Haletos com Metais de Transição,Ag2C6Cl2H4
Haletos com Metais de Transição,Ag2C6Cl2H8N2
Haletos com Metais de Transição,Ag2C8Cl2F8
Haletos com Metais de Transição,Ag2Ca3Br2S4
Haletos com Metais de Transição,Ag2Ca3Cl2O4
Haletos com Metais de Transição,Ag2Cd2F2S2
Haletos com Metais de Transição,Ag2Cl2N2
Haletos com Metais de Transição,Ag2Cl2N2S2
Haletos com Metais de Transição,Ag2Cl2Te4
Haletos com Metais de Transição,Ag2Cl4
Haletos com Metais de Transição,Ag2F2
Haletos com Metais de Transição,Ag2F2N2O2
Haletos com Metais de Transição,Ag2F2N2S2
Haletos com Metais de Transição,Ag2F2P4Se3
Haletos com Metais de Transição,Ag2F2S4
Haletos com Metais de Transição,Ag2F2Se2
Haletos com Metais de Transição,Ag2F2Se4
Haletos com Metais de Transição,Ag2Hg2F2Se2
Haletos com Metais de Transição,Ag2I2P4Se3
Haletos com Metais de Transição,Ag2I2S3Sb4
Haletos com Metais de Transição,Ag2I2Sb4Se3
Haletos com Metais de Transição,Ag2I2Sb4Te3
Haletos com Metais de Transição,Ag2I2Se2
Haletos com Metais de Transição,Ag2I2Te2
Haletos com Metais de Transição,Ag2Sr3I2S4
Haletos com Metais de Transição,Ag4Br4F4S4
Haletos com Metais de Transição,Ag4Br8
Haletos com Metais de Transição,Ag4Cl4H4O4
Haletos com Metais de Transição,Ag4Cl8
Haletos com Metais de Transição,Ag4F4I4O4
Haletos com Metais de Transição,Ag4F4S4
Haletos com Metais de Transição,AgAsCl2Se2
Haletos com Metais de Transição,AgAuBr2S
Haletos com Metais de Transição,AgAuI2SSe
Haletos com Metais de Transição,AgBa2Br2S2
Haletos com Metais de Transição,AgBa2Br2Te2
Haletos com Metais de Transição,AgBa2F2S2
Haletos com Metais de Transição,AgBa2F2Te2
Haletos com Metais de Transição,AgBr
Haletos com Metais de Transição,AgBr2
Haletos com Metais de Transição,AgBr2F
Haletos com Metais de Transição,AgBr2H
Haletos com Metais de Transição,AgBrClS
Haletos com Metais de Transição,AgC12F4S2
Haletos com Metais de Transição,AgCa2Br2Te2
Haletos com Metais de Transição,AgCa2Cl2Se2
Haletos com Metais de Transição,AgCa2F2Te2
Haletos com Metais de Transição,AgCa2I2S2
Haletos com Metais de Transição,AgCaBrCl
Haletos com Metais de Transição,AgCaCuBr2NS
Haletos com Metais de Transição,AgCaI2SSe
Haletos com Metais de Transição,AgCl
Haletos com Metais de Transição,AgCl2Ge
Haletos com Metais de Transição,AgCrI2SbSe
Haletos com Metais de Transição,AgCuGaBrI2S4
Haletos com Metais de Transição,AgCuGaF2I2N
Haletos com Metais de Transição,AgGaCl2Se2
Haletos com Metais de Transição,AgGaI2SSe
Haletos com Metais de Transição,AgGaI2Se
Haletos com Metais de Transição,AgITe
Haletos com Metais de Transição,AgMnCl2N2
Haletos com Metais de Transição,AgMnF4
Haletos com Metais de Transição,AgMnI2OS
Haletos com Metais de Transição,AgNbTaCl2O3
Haletos com Metais de Transição,AgPbI4
Haletos com Metais de Transição,AgRhBrISSe
Haletos com Metais de Transição,AgSn2I2S3
Haletos com Metais de Transição,AgSr2Br2S2
Haletos com Metais de Transição,AgSr2F2O2
Haletos com Metais de Transição,AgVCl4
Haletos com Metais de Transição,AgWBr2NO
Haletos com Metais de Transição,AgWBr5Se
Haletos com Metais de Transição,AgZnBrI
Haletos com Metais de Transição,Al2Y2Cl2
Haletos com Metais de Transição,AlFe5Cl2
Haletos com Metais de Transição,AlPd5F2
Haletos com Metais de Transição,AlPd5I2
Haletos com Metais de Transição,AlPt5Br2
Haletos com Metais de Transição,AlPt5Cl2
Haletos com Metais de Transição,AlRuBr2F
Haletos com Metais de Transição,Au2As4Br2Te3
Haletos com Metais de Transição,Au2B2Br2S2
Haletos com Metais de Transição,Au2B2I2S2
Haletos com Metais de Transição,Au2B4Cl2F4N2
Haletos com Metais de Transição,Au2Br2F2
Haletos com Metais de Transição,Au2Br2OSe
Haletos com Metais de Transição,Au2C4F4O8
Haletos com Metais de Transição,Au2Ca3Cl2O4
Haletos com Metais de Transição,Au2Ca3I2S4
Haletos com Metais de Transição,Au2Cd2Br2S2
Haletos com Metais de Transição,Au2Cd2I2Te2
Haletos com Metais de Transição,Au2Cl2S2
Haletos com Metais de Transição,Au2Cl2S4
Haletos com Metais de Transição,Au2Cl2Se2
Haletos com Metais de Transição,Au2Cl2Se4
Haletos com Metais de Transição,Au2Cl4O12
Haletos com Metais de Transição,Au2ClISe2
Haletos com Metais de Transição,Au2F2P4Se3
Haletos com Metais de Transição,Au2F2P4Te3
Haletos com Metais de Transição,Au2GaSnCl4S3Se
Haletos com Metais de Transição,Au2Hg2Cl2Se2
Haletos com Metais de Transição,Au2Hg2F2Se2
Haletos com Metais de Transição,Au2Hg2I2Se2
Haletos com Metais de Transição,Au2I2N2
Haletos com Metais de Transição,Au2I2Sb4Se3
Haletos com Metais de Transição,Au2I2Te4
Haletos com Metais de Transição,Au2I4
Haletos com Metais de Transição,Au2In2Br3O3
Haletos com Metais de Transição,Au2InNiI4O4
Haletos com Metais de Transição,Au2PdTlZnBr3S7
Haletos com Metais de Transição,Au2ReF6
Haletos com Metais de Transição,Au2ScF3NS
Haletos com Metais de Transição,Au2Sr3I2O4
Haletos com Metais de Transição,Au2SrBr2O2
Haletos com Metais de Transição,Au2VI4S
Haletos com Metais de Transição,Au3BrIS2
Haletos com Metais de Transição,Au3Cl2Se2
Haletos com Metais de Transição,Au3InBr4O4
Haletos com Metais de Transição,Au4Br4O4
Haletos com Metais de Transição,AuAsBrClO2
Haletos com Metais de Transição,AuB6F4N6S2
Haletos com Metais de Transição,AuBa2F2S2
Haletos com Metais de Transição,AuBa2F2Te2
Haletos com Metais de Transição,AuBa2I2S2
Haletos com Metais de Transição,AuBr
Haletos com Metais de Transição,AuBrF2
Haletos com Metais de Transição,AuC12F4S2
Haletos com Metais de Transição,AuCa2Br2O2
Haletos com Metais de Transição,AuCa2Br2Se2
Haletos com Metais de Transição,AuCa2Cl2S2
Haletos com Metais de Transição,AuCa2I2S2
Haletos com Metais de Transição,AuCuClI
Haletos com Metais de Transição,AuF2
Haletos com Metais de Transição,AuF2O2
Haletos com Metais de Transição,AuGaClIS2
Haletos com Metais de Transição,AuGaNiPdBrI3O4
Haletos com Metais de Transição,AuHf2IO3
Haletos com Metais de Transição,AuHfClGeS5
Haletos com Metais de Transição,AuI2
Haletos com Metais de Transição,AuInBr3IO2
Haletos com Metais de Transição,AuInBrSe2
Haletos com Metais de Transição,AuMn3Br3O5
Haletos com Metais de Transição,AuMn3BrCl3IO4Se
Haletos com Metais de Transição,AuMnBr2SSe
Haletos com Metais de Transição,AuRhBr2O2
Haletos com Metais de Transição,AuSnFI2O
Haletos com Metais de Transição,AuSr2I2S2
Haletos com Metais de Transição,AuTlI2S4
Haletos com Metais de Transição,AuZrBr2F2O
Haletos com Metais de Transição,Ba2CuCl2Se2
Haletos com Metais de Transição,Ba2CuF2O2
Haletos com Metais de Transição,Ba2CuI2Te2
Haletos com Metais de Transição,Ba3Fe2Br2S5
Haletos com Metais de Transição,Ba3Fe2Cl2O5
Haletos com Metais de Transição,Ba3Ni2I2O5
Haletos com Metais de Transição,Ba4Fe2Br2O6
Haletos com Metais de Transição,Ba4Mn2I2S6
Haletos com Metais de Transição,Ba4Ni2I2S6
Haletos com Metais de Transição,Bi2Cd2Br2O4
Haletos com Metais de Transição,Bi2Cd2I2O4
Haletos com Metais de Transição,Bi2Co2I2S4
Haletos com Metais de Transição,Bi2Fe2Br2S4
Haletos com Metais de Transição,Bi2Fe2Br2Te4
Haletos com Metais de Transição,Bi2Hf3BrN3O2Sb
Haletos com Metais de Transição,Bi2HfBr2Se
Haletos com Metais de Transição,Bi2Hg2Cl2O4
Haletos com Metais de Transição,Bi2Hg2I2O4
Haletos com Metais de Transição,Bi2Mn2Br2Se4
Haletos com Metais de Transição,Bi2Mn2Cl2S4
Haletos com Metais de Transição,Bi2Mn2F2Se4
Haletos com Metais de Transição,Bi2Mn2F2Te4
Haletos com Metais de Transição,Bi2Mn2I2O4
Haletos com Metais de Transição,Bi2Ni2Br2Te4
Haletos com Metais de Transição,Bi2Pt2Br2I2S4
Haletos com Metais de Transição,Bi4Zn2Br4O6
Haletos com Metais de Transição,Bi4Zn2Cl4O6
Haletos com Metais de Transição,Bi4Zn2I4O6
Haletos com Metais de Transição,BiCdBrTe
Haletos com Metais de Transição,BiHfBrSe3
Haletos com Metais de Transição,BiMn2BrISbSe
Haletos com Metais de Transição,BiNbITe
Haletos com Metais de Transição,BiPdBr2
